Assembly No,Assembly Name,Panchayat (मुख्य शहर/ गाँव),Booth No,Booth Name,Total voters,Male voters,Female voters
72,सिंहेश्वर,कन्हुआ गोढियारी,1,मध्य विद्यालय कन्हुआ गोढियारी उत्तर भाग,953,479,474
72,सिंहेश्वर,कमरगामा,10,"मध्य विद्यालय, कमरगामा, बायां भाग",801,401,400
72,सिंहेश्वर,गहुमनी,100,"प्राथमिक विद्यालय, एकडरहा, दायां भाग दक्षिण",818,434,384
72,सिंहेश्वर,गहुमनी,101,"उत्क्रमित उच्चतर माध्यमिक विद्यालय, इटहरी पूरब भाग बायाँ",987,534,453
72,सिंहेश्वर,गहुमनी,102,"उत्क्रमित उच्चतर माध्यमिक विद्यालय, इटहरी पश्चिम भाग",1010,515,495
72,सिंहेश्वर,जयपुरा,103,उत्क्रमित मध्य विद्यालय जयपुरा,997,527,470
72,सिंहेश्वर,जयपुरा,104,उत्क्रमित मध्य विद्यालय मौरा खाप दायाँ भाग,925,468,457
72,सिंहेश्वर,मौरा,105,"उत्क्रमित मध्य विद्यालय, मोरा खाप बायाँ भाग",953,481,472
72,सिंहेश्वर,बारी,106,"प्राथमिक विद्यालय, बारी, बायां भाग",931,472,459
72,सिंहेश्वर,मौरा,107,"प्राथमिक विद्यालय, बारी, दायां भाग",848,440,408
72,सिंहेश्वर,मौरा,108,"पंचायत भवन मौरा, बायां भाग",919,461,458
72,सिंहेश्वर,मौरा,109,"पंचायत भवन, मौरा, दायां भाग",873,454,419
72,सिंहेश्वर,कमरगामा,11,"मध्य विद्यालय, बड़हरी",936,475,461
72,सिंहेश्वर,कबियाही,110,"गोरेलाल उच्च विद्यालय, कवियाही, उत्तर, दाया भाग पश्चिम",1143,604,539
72,सिंहेश्वर,कबियाही,111,"गोरेलाल उच्च विद्यालय, कवियाही, दक्षिण भाग",1124,592,532
72,सिंहेश्वर,झरकाहा,112,मध्य विद्यालय झरकाहा नं0-२ दाया भाग,983,513,470
72,सिंहेश्वर,झरकाहा,113,"उर्दू मध्य विद्यालय, गाढा रहमानपुर दाया भाग",689,339,350
72,सिंहेश्वर,झरकाहा,114,"उर्दू मध्य विद्यालय, गाढा रहमानपुर बायां भाग",666,329,337
72,सिंहेश्वर,झरकाहा,115,"पंचायत भवन झरकाहा, बायां भाग",881,426,455
72,सिंहेश्वर,झरकाहा,116,"पंचायत भवन, झरकाहा, दायां भाग",794,411,383
72,सिंहेश्वर,झरकाहा,117,"मध्य विद्यालय, झरकाहा नं01, बायां भाग",1003,523,480
72,सिंहेश्वर,झरकाहा,118,"मध्य विद्यालय, झरकाहा नं 01, दायां भाग",795,398,397
72,सिंहेश्वर,चौराहा,119,"उर्दू मध्य विद्यालय, एकराहा",767,401,366
72,सिंहेश्वर,गोपालपुर,12,"उत्क्रमित मध्य विद्यालय, गोपालपुर",682,346,336
72,सिंहेश्वर,चौराहा,120,"उत्क्रमित मध्य विद्यालय, चौराहा दायाँ भाग",911,483,428
72,सिंहेश्वर,चौराहा,121,"उत्क्रमित मध्य विद्यालय, चौराहा, बायाँ भाग",786,396,390
72,सिंहेश्वर,चौराहा,122,"उत्क्रमित मध्य विद्यालय, बघला दाया भाग",609,298,311
72,सिंहेश्वर,चौराहा,123,"उत्क्रमित मध्य विद्यालय, बघला बायाँ भाग",603,306,297
72,सिंहेश्वर,रामपुरलाही,124,"उत्क्रमित मध्य विद्यालय, गाढा रामपुर, दायां भाग",774,375,399
72,सिंहेश्वर,रामपुरलाही,125,"उत्क्रमित मध्य विद्यालय, गाढा रामपुर, बायां भाग पश्चिम",1002,538,464
72,सिंहेश्वर,रामपुरलाही,126,"उत्क्रमित मध्य विद्यालय, बरियाही वायाँ भाग पश्चिम",847,434,412
72,सिंहेश्वर,रामपुरलाही,127,"उत्क्रमित मध्य विद्यालय, बरियाही दायाँ भाग पूरब",769,395,374
72,सिंहेश्वर,रामपुरलाही,128,"उत्क्रमित मध्य विद्यालय, बरियाही दायाँ भाग पश्चिम",881,429,452
72,सिंहेश्वर,रामपुरलाही,129,"उत्क्रमित मध्य विदयालय, बथान गाढा, दायां भाग",885,435,450
72,सिंहेश्वर,पिपराही,13,"उत्क्रमित मध्य विद्यालय पिपराही नं0-1, पश्चिम, दायां भाग",864,443,421
72,सिंहेश्वर,रामपुरलाही,130,"उत्क्रमित मध्य विद्यालय, बथान गाढा, बायां भाग",942,480,462
72,सिंहेश्वर,रामपुरलाही,131,"उत्क्रमित मध्य विद्यालय, लाही दायां भाग",659,341,318
72,सिंहेश्वर,रामपुरलाही,132,"उत्क्रमित मध्य विद्यालय, लाही बायां भाग",713,377,336
72,सिंहेश्वर,रामपुरलाही,133,"प्राथमिक विद्यालय, जीतपुर दाया भाग",897,469,428
72,सिंहेश्वर,परसा,134,"मध्य विद्यालय, बथान परसा, पश्चिम भाग दाया",824,417,407
72,सिंहेश्वर,परसा,135,"मध्य विद्यालय, बथान परसा, पश्चिम भाग बाया",846,429,417
72,सिंहेश्वर,परसा,136,"मध्य विद्यालय, बथान परसा, पूरब भाग",948,502,446
72,सिंहेश्वर,परसा,137,"मध्य विद्यालय, बथान परसा, मध्य भाग",856,451,405
72,सिंहेश्वर,परसा,138,"उत्क्रमित मध्य विद्यालय, भलुआहा",903,461,442
72,सिंहेश्वर,परसा,139,"उत्क्रमित मध्य विद्यालय, जीतपुर",1032,544,488
72,सिंहेश्वर,पिपराही,14,"उत्क्रमित मध्य विद्यालय पिपराही नं0-1, पश्चिम. बांया भाग",855,458,397
72,सिंहेश्वर,बेहरारी,140,"उत्क्रमित मध्य विद्यालय, बेहरारी, दायां भाग",818,435,383
72,सिंहेश्वर,बेहरारी,141,"उत्क्रमित मध्य विद्यालय, बेहरारी, बायां भाग",725,363,362
72,सिंहेश्वर,बेहरारी,142,"उत्क्रमित मध्य विद्यालय, काल्हुआ, पश्चिम टोला, बायाँ भाग",1095,555,540
